Date,Hubei,Guangdong,Beijing,Shanghai,Zhejiang,Tianjin,Chongqing,Jiangxi,Shandong,Henan,Hunan,Sichuan,Yunnan,Shanxi,Fujian,Liaoning,Hainan,Anhui,Guizhou,Guangxi,Ningxia,Hebei,Jiangsu,Jilin,Heilongjiang,Shaanxi,Xinjiang,Gansu,"Inner
Mongolia",Qinghai,Tibet
1-11-2020,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-12-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-13-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-14-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-15-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-16-2020,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-17-2020,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-18-2020,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-19-2020,77,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-20-2020,72,13,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-21-2020,105,12,5,7,5,2,5,2,1,1,1,2,1,,,,,,,,,,,,,,,,,,
1-22-2020,69,6,4,7,5,2,4,1,5,4,8,3,0,1,1,2,4,1,3,2,1,1,1,1,,3,,,,,
1-23-2020,105,21,12,4,33,1,18,4,3,4,15,10,1,0,4,2,4,14,0,11,1,1,8,2,4,2,2,2,1,,
1-24-2020,180,25,10,13,19,3,30,11,12,23,19,13,3,5,5,8,2,24,1,10,1,6,9,1,5,10,1,2,1,,
1-25-2020,323,20,15,7,42,2,18,18,18,51,26,16,6,3,19,5,12,21,1,10,1,5,13,0,6,7,1,3,5,1,
1-26-2020,371,48,17,13,24,4,35,12,24,45,31,25,8,4,27,5,9,10,2,13,3,5,16,2,6,13,1,7,4,3,
1-27-2020,1291,42,12,13,45,9,22,24,24,40,43,21,7,7,17,5,7,36,2,5,4,15,23,2,9,11,5,5,2,2,
1-28-2020,840,53,11,14,123,1,15,37,34,38,78,18,25,7,9,9,5,46,0,7,1,15,29,1,7,10,3,5,2,0,
1-29-2020,1032,70,20,21,132,3,18,53,24,72,56,34,19,8,19,3,3,48,3,20,5,17,30,5,6,7,1,2,3,0,1
1-30-2020,1220,82,21,27,109,5,41,78,33,74,55,36,10,4,19,4,3,37,3,9,4,17,39,0,16,24,3,3,2,2,0
1-31-2020,1347,142,24,41,62,5,41,46,28,70,67,30,11,8,24,20,8,60,14,13,5,14,34,3,21,14,1,6,3,1,0
2-1-2020,1921,69,27,8,62,8,15,47,19,71,64,23,8,9,15,1,6,43,9,11,2,8,34,6,15,15,2,5,4,2,0
2-2-2020,2103,79,29,26,63,11,50,58,34,73,58,23,15,10,20,9,8,68,8,16,3,9,35,8,26,12,4,11,7,2,0
2-3-2020,2345,114,16,5,105,4,25,85,11,109,72,28,3,8,15,1,7,72,10,12,3,13,37,11,34,14,5,4,1,2,0
2-4-2020,3156,73,25,25,66,9,29,72,28,89,68,19,5,7,11,7,11,50,8,11,0,9,33,12,35,23,3,2,7,2,0
2-5-2020,2987,74,21,21,59,2,23,52,45,87,50,20,6,9,10,8,11,61,5,18,6,22,32,5,37,8,4,5,4,1,0
2-6-2020,2447,74,23,15,52,10,22,61,36,63,61,23,7,6,9,5,11,74,6,4,3,14,35,6,36,11,3,5,4,0,0
2-7-2020,2841,57,18,12,42,2,15,37,28,66,31,19,3,7,15,5,11,68,12,11,1,24,31,4,18,11,3,4,2,0,0
2-8-2020,2060,45,11,11,15,2,20,41,28,53,35,23,2,12,11,6,6,46,9,12,1,11,29,9,26,13,3,8,2,0,0
2-9-2020,2618,31,11,3,29,3,22,33,24,40,41,19,1,4,11,2,8,51,13,15,4,12,24,2,24,5,4,4,4,0,0
2-10-2020,2097,26,5,7,25,7,18,32,27,32,33,12,8,3,6,1,6,30,18,5,4,21,23,1,29,6,6,3,0,0,0
2-11-2020,1638,42,10,4,14,11,19,40,11,30,34,19,5,2,5,8,3,29,13,7,5,12,28,2,18,6,4,0,2,0,0
2-12-2020,13797,22,14,7,14,6,13,28,9,34,22,15,1,2,7,2,12,21,4,0,6,14,27,1,17,4,4,1,1,0,0
2-13-2020,4823,20,6,5,10,7,11,28,13,15,20,12,7,0,2,1,0,24,5,4,3,18,23,2,23,1,2,3,4,0,0
2-14-2020,2420,33,3,8,7,1,8,13,11,28,13,7,6,1,4,2,5,16,3,9,3,8,11,2,7,2,5,0,3,0,0
2-15-2020,1843,22,5,2,5,2,7,12,7,19,3,11,1,1,2,1,0,12,1,2,0,9,13,1,20,4,1,0,2,0,0
2-16-2020,1933,6,1,3,4,2,7,5,4,15,2,14,0,1,3,1,0,11,2,1,0,1,9,0,12,4,4,0,2,0,0
2-17-2020,1807,6,6,2,1,1,2,3,2,11,1,13,1,1,2,0,1,9,0,4,0,1,3,0,7,0,1,1,1,0,0
2-18-2020,1693,3,6,0,1,3,2,1,1,5,1,6,1,1,1,0,0,4,0,2,1,4,2,1,6,2,0,0,2,0,0
